duration,protocol_type,service,src_bytes,dst_bytes,flag,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
271,udp,domain,2733,47348,RSTO,1,2,2,1,0,1,1,1,1,6,1,1,3,1,157,139,0.531966136932325,0.2601028559357783,0.7624919991653835,0.9551360022910355,0.09090866777638218,0.8248273333264833,0.7536144988494077,76,209,0.7398855125166202,0.9039140032180665,0.13877554768123346,0.3360192604614499,0.041641643938297945,0.9777830935937945,0.5585784465884833,0.9727636851832574,u2r
37,icmp,http,1366,27000,RSTO,0,2,0,3,1,0,2,1,0,2,0,1,0,0,144,180,0.4805176468095672,0.059884898203861336,0.8511753315837528,0.4389484282567765,0.728943807980465,0.16732447182344745,0.6268712667729196,71,227,0.06610917334329003,0.49751437475296634,0.11613769504743765,0.3896862947602452,0.9183104173005132,0.8299025708818606,0.5598441022685083,0.9505123210604118,dos
135,udp,ftp,15474,27010,RSTO,0,1,2,2,1,0,4,1,1,3,2,1,2,1,106,195,0.10896797147221216,0.39150632118484197,0.9345452290969232,0.043422767509501914,0.5549397887661137,0.693464174743909,0.4839398366124197,38,62,0.7191456776800568,0.5920183320069368,0.9067356997881136,0.3417597503984785,0.44586538158897737,0.2154387050538742,0.056159452742746585,0.7122986391307881,probe
212,tcp,domain,32517,20823,REJ,1,0,1,2,3,0,1,0,0,1,2,0,3,1,180,60,0.2901741594394832,0.7800084502079949,0.15409692909512396,0.13818513431909285,0.436172389502257,0.5068342985989844,0.85706356375098,126,136,0.34613977956794795,0.6630665626974632,0.8156614827217851,0.725061750688172,0.09441506396811028,0.6749009126757347,0.8774457991663238,0.6998376696210613,probe
275,tcp,domain,40317,20684,S0,0,2,0,4,3,1,9,1,0,7,3,1,2,1,169,26,0.4108293873138098,0.9074788101603699,0.038135530547372065,0.25297722504298303,0.8693098155676856,0.5661193737434002,0.7344598462707694,165,104,0.057667280115436204,0.0724134797617606,0.11230247603005283,0.2492031709760073,0.16664087155612972,0.3692054919839176,0.33623651642609853,0.7276008724936045,dos
250,icmp,smtp,17822,48009,SF,1,0,0,4,4,1,9,1,0,3,0,0,0,0,15,21,0.9925719763035085,0.5620461302735671,0.9034333173762857,0.5360330332037723,0.9522753643802484,0.9089328030514813,0.6951171212006384,184,132,0.16260306850583373,0.271290253976076,0.7515275051389014,0.44975126991280334,0.14239293143757825,0.2661828736891101,0.704043303037072,0.5154385223687874,probe
205,tcp,smtp,44623,46967,REJ,1,2,0,1,3,0,9,1,0,4,2,1,2,1,45,51,0.3744178418071399,0.5101673740368226,0.23035251616205243,0.9556484539043236,0.5845398545076461,0.21073525224707812,0.024505370238214086,202,10,0.0580187369593842,0.01811075388739347,0.6789578386364162,0.8863590639687067,0.05406920769699386,0.35314635589826604,0.597290836371013,0.7005517711687175,u2r
221,tcp,http,45138,3134,RSTO,1,1,2,4,3,0,1,1,0,7,1,0,0,0,123,105,0.6621316905396673,0.37613698122987205,0.34709725859712626,0.12473813991373517,0.5944405160503694,0.14479065455224416,0.5838368843177969,165,224,0.41820479060660676,0.16829342171427752,0.031883481077619624,0.8265765562306999,0.6700960397330876,0.770211355971884,0.027308577018521296,0.5313083408629629,normal
207,icmp,domain,3151,24531,S0,1,1,2,0,1,1,6,0,1,9,1,0,2,1,29,117,0.36519313020374033,0.8804995690178747,0.30466180664201337,0.03657837161791255,0.9159425831544534,0.7543769917836587,0.025347894385093328,175,41,0.03807901750218945,0.3428191077453361,0.5559935502657948,0.1981836233547274,0.6920816666796723,0.5322764553805328,0.6856773704717006,0.16998343601344812,normal
2,icmp,smtp,47642,9225,S0,0,2,0,3,3,1,6,1,1,1,3,0,3,1,171,179,0.023042476101938214,0.32308748095070716,0.7453219873939861,0.579168051939855,0.5407084622594092,0.5328430382272084,0.4874412953799434,30,146,0.7463122362103279,0.838023410895536,0.9578917598667661,0.6393155856871829,0.16938681940715272,0.18353526149323296,0.05330502175212459,0.11570917762334687,normal
222,tcp,ssh,42594,15395,REJ,0,0,1,2,0,0,7,1,0,8,2,0,3,0,68,112,0.2726231927845726,0.19194146772957965,0.8732232791646256,0.18807700377962633,0.7356171834395673,0.2172748510676168,0.3377807459591391,130,67,0.25721057259239044,0.24940054091185615,0.6795612629141387,0.4712206801548815,0.6631611795652513,0.5168520245140258,0.916263481750589,0.671262111593612,r2l
263,icmp,ftp,45458,49600,SF,0,2,2,0,1,0,0,0,1,9,0,1,4,1,57,80,0.10288701775411013,0.0291744393123331,0.22341302944546093,0.4425245559541132,0.5059897268602656,0.30107227596666264,0.3599360166583234,135,37,0.5532934153803712,0.8196743672918995,0.4244553232898187,0.005424225692775897,0.33199846583957204,0.96701776153968,0.7047591492947576,0.7772773902743563,r2l
73,icmp,domain,49032,38688,S0,0,1,0,3,1,0,6,0,1,1,1,0,1,1,14,109,0.7748728438465584,0.5217920370008964,0.30301949985317034,0.2647959976945031,0.5648232983718381,0.45994961302531057,0.863353357674694,252,96,0.5507261313629357,0.7974043438195124,0.9237370006773514,0.1889349933163874,0.026119940861367708,0.498538786482866,0.7066694760111997,0.2378230945809322,normal
204,tcp,http,18237,43837,SH,1,1,1,1,1,0,5,0,0,1,2,1,2,0,106,188,0.9231062563478546,0.5654831341827853,0.22886051701295007,0.4426310414895571,0.14187964726455904,0.5632304204040998,0.6262667771878033,247,131,0.5073589580043305,0.21289687978560357,0.907270355430348,0.9754361128594412,0.6689335041496642,0.3088827465733718,0.3691775262553828,0.38326002439071527,probe
299,udp,ssh,18784,36797,REJ,0,1,1,2,3,0,5,0,0,3,2,0,4,0,124,71,0.04538122671079181,0.4190595327553266,0.7402574495020778,0.2383608908233753,0.43772315465763434,0.5007811507096157,0.8220628016265045,2,185,0.15612341675411534,0.41221122992789616,0.6797116591080408,0.7445605029079817,0.5325047160902645,0.5992815549898934,0.21161560184895134,0.004644576693066171,dos
198,icmp,smtp,24742,36286,SH,1,2,0,1,1,0,7,1,0,1,1,1,1,1,155,163,0.18215641615206168,0.7935628834075599,0.7686371382543475,0.656401064710838,0.5810541329309274,0.18148372795662726,0.8702569966505989,71,215,0.13611171645388986,0.23404271815587874,0.19846929164471894,0.45936445626652933,0.5651152219099145,0.9351472023237588,0.5634157148544117,0.9092557192053153,probe
276,udp,smtp,9179,12104,RSTO,0,0,0,4,2,0,9,0,1,3,3,0,0,1,119,168,0.6248792453331824,0.24747174765612723,0.4647418588379386,0.5773431662633876,0.17960381625659483,0.6766442491844862,0.8543551353223926,158,36,0.6294453068688943,0.5316318878369455,0.3464357272089357,0.9176463156428589,0.7305059972777663,0.5243184965175696,0.15572006615999456,0.9214297789636822,u2r
146,tcp,http,25130,40746,SH,0,1,2,3,1,1,8,0,0,7,4,1,1,1,139,165,0.6700144986143004,0.5280268697947793,0.0060501225823816895,0.8582897711561688,0.17672374753532583,0.540974606872733,0.5640876650743497,20,166,0.18834129397010657,0.35280513008456915,0.17695219950067387,0.20142382319185814,0.710426003621165,0.4890196852433881,0.8232261331279354,0.4893900047304921,normal
112,tcp,domain,33243,280,SH,1,2,0,4,0,1,5,0,0,4,4,0,3,0,146,45,0.4925379286846513,0.946234949915687,0.8571086132665782,0.39161643630436604,0.037606813435283604,0.7847435813128258,0.598386145774823,206,76,0.7800012928641663,0.7209240601377046,0.37714709940337965,0.6619419553352566,0.417148280104111,0.4850212958775799,0.9177052391918223,0.6906388374674667,probe
216,udp,ftp,28656,23694,S0,0,0,1,3,2,0,2,0,1,2,1,0,2,1,166,185,0.697928486380399,0.9022573349506877,0.9508248280504756,0.6192311303776709,0.35505828901050906,0.7230172981578282,0.2216540012434841,221,156,0.2626745094073206,0.24939345251502631,0.8665424497769253,0.5846141091434222,0.5078609808379924,0.4032645855270637,0.6489837747659973,0.7523230468795303,u2r
72,udp,ftp,16149,273,RSTO,1,0,1,0,1,0,7,0,1,7,4,1,0,1,70,7,0.6758452404688965,0.8236164808047093,0.2041323069619675,0.20721857060105586,0.10255005336126777,0.0019788928544480777,0.28414630455434753,190,163,0.13577776635059235,0.5155724377364571,0.8532021334959384,0.2900116230620077,0.9151942106872029,0.8959992433351883,0.36843792665262554,0.1721458320161623,dos
279,icmp,domain,12746,38075,S0,1,2,1,1,0,0,9,1,0,3,4,0,4,0,133,22,0.27486446999917236,0.9154913851832255,0.32756663801942065,0.9253307410248174,0.8218007101678818,0.3990740987130337,0.18379950266027179,183,36,0.05643686274037241,0.15595755564913805,0.5209631462955777,0.21109705117982414,0.24807197864279062,0.767370319484763,0.5970429313909961,0.4877683530458967,normal
59,tcp,domain,38352,23514,S0,0,1,1,3,1,1,9,0,1,6,2,1,3,0,169,177,0.2093904564521717,0.47598264134437307,0.4116053025790303,0.787213303519578,0.6262269513156219,0.9354036487869761,0.7450607411419962,3,182,0.21648637808761106,0.8450450194541362,0.5076585999579732,0.11876273003753635,0.3568352108199637,0.25171624270048276,0.32765771464048665,0.10465222571468347,probe
143,udp,ftp,37618,32863,REJ,0,0,1,0,2,1,5,0,0,2,0,1,0,0,155,175,0.93929432445419,0.6347392064238631,0.3191401535550106,0.9382904769377568,0.47754634846089905,0.13415645270596877,0.1660411118714047,56,227,0.6358978250223238,0.3158945236761881,0.14802121162927873,0.4703644603596858,0.66802761866161,0.217141310533438,0.32354977993237266,0.31652517451521855,normal
65,icmp,smtp,43546,39762,SH,0,1,0,2,4,0,2,1,0,1,4,1,4,1,96,32,0.04726254765528015,0.022632131145395862,0.9428938315899578,0.6233020538217493,0.7184476730736767,0.9510107221144645,0.9631725480454408,32,166,0.6779253875201868,0.5096174667666415,0.6343490512977681,0.7059826700529505,0.5169288145418948,0.8710042415272802,0.29303622367774196,0.17552041642353167,normal
184,tcp,ftp,1565,29976,SH,1,2,2,0,2,0,9,1,0,6,3,1,0,0,168,124,0.4394923125295309,0.776858733260925,0.9073812938358277,0.2860234125806379,0.5315179873023964,0.5871748842670476,0.8206195470441152,33,98,0.8329335663006808,0.823575864641659,0.9931179822580057,0.4099257226131783,0.10521042539013392,0.6556113053603322,0.6330063115319462,0.8538011067831727,probe
93,tcp,ssh,49671,13094,SF,0,1,1,2,4,1,6,0,1,9,4,1,0,0,165,164,0.058195708768778,0.7970546927161105,0.05559238017552692,0.03603521156351108,0.3575835366697939,0.18768558527023738,0.020399709019667922,208,10,0.7282534786052631,0.4847648205522933,0.12263006737033288,0.07398844261942616,0.3594847057937901,0.28718770007741734,0.17444636369044786,0.2587758111967725,probe
252,icmp,http,42525,6089,SH,0,1,2,3,2,1,0,0,0,2,3,0,4,0,186,103,0.27996143157359854,0.1314144248054011,0.26168810949400945,0.5059644497330559,0.7236185467537173,0.22248081094896544,0.6341003410516377,201,197,0.36435490750740895,0.07335138600360847,0.6748450933376549,0.2968416245000751,0.5438274995254446,0.12872521093908085,0.9631419730742862,0.15334604611449854,dos
192,icmp,ssh,20978,2540,SF,1,1,1,3,0,1,8,1,0,7,2,1,2,0,163,0,0.9360490239970924,0.8886927203551324,0.7952678598600547,0.8171989678392962,0.41386655295435504,0.9565160698297424,0.25330691941593464,122,183,0.24920487982036144,0.38599250867012314,0.604036617484487,0.4923968601723534,0.18990371631215297,0.7956862639395264,0.5221210474378328,0.03342174679943366,dos
273,tcp,ftp,47857,48044,S0,1,2,2,1,1,0,4,0,1,2,1,0,4,1,191,99,0.459090792728175,0.6734211490396842,0.043796933646665814,0.4982095241821005,0.7260956439327031,0.6180693045474113,0.9158658325532192,9,248,0.9193141499877963,0.5344313783423514,0.38595895562919347,0.6551826439438065,0.1598397916859602,0.19867562666854632,0.8652546428158815,0.601821518910192,u2r
241,icmp,ssh,48780,29916,SF,0,1,2,4,4,0,8,1,0,6,1,1,2,0,60,2,0.8364398195694457,0.7519207547763137,0.8506324209221919,0.26589410718828344,0.7000095622493137,0.01606477806602824,0.27450421802391023,56,13,0.36219001102557713,0.12315082972976199,0.4116427642192717,0.5541773636063982,0.7346652189871352,0.23337433878798253,0.9153057483440171,0.7072106540864379,r2l
234,tcp,domain,18235,22535,SF,1,1,2,1,0,1,9,0,0,1,1,0,3,0,167,114,0.4155237076543835,0.7166917635466064,0.2896898655908604,0.42159401164808874,0.9774264432120762,0.962289626409687,0.5564288785529016,181,70,0.04763590561246267,0.06450822261795297,0.7222812675358418,0.03506339248205881,0.017039672952339324,0.1294760270551094,0.9301329570208569,0.8238442260164556,probe
272,tcp,smtp,18337,36108,S0,1,0,0,0,1,1,3,1,0,6,4,0,4,1,153,77,0.11165088098473142,0.26925743105257227,0.38145340953477225,0.6952241360319444,0.006234027599409719,0.20672107333531586,0.7722422103335286,10,194,0.1486353250260457,0.9096699914675448,0.36633647912290446,0.3307258593621968,0.9471819015381754,0.37738638441679195,0.5016689757592092,0.621465132048364,dos
20,tcp,http,48476,9340,REJ,0,1,0,1,2,0,8,1,1,2,4,0,1,1,101,73,0.9779584539116597,0.4552489428498163,0.08381199382632587,0.012033294023144459,0.23347458031895973,0.34549843526234236,0.536214311695311,18,121,0.9856601708787368,0.17560616115984284,0.8802441111869517,0.9867165306566381,0.47099138298813736,0.734570642527496,0.7031313896919088,0.36863671471773574,u2r
156,icmp,ssh,37140,8295,REJ,1,0,1,3,4,0,8,0,1,6,3,0,2,0,172,85,0.21304578613037162,0.39279101204139777,0.11358839081016903,0.4948008917701696,0.7116731776609494,0.8634141325907518,0.4915332367817331,59,10,0.33969775192393814,0.8462855943480193,0.32494989446684397,0.6476906121724828,0.4657430987237813,0.6501623406805065,0.7967702325542771,0.2402276086465096,normal
138,tcp,smtp,35109,13126,REJ,0,1,0,0,1,0,6,0,1,7,3,0,0,0,105,4,0.001147036005071378,0.41872951498667943,0.5926120497270978,0.826660080315833,0.07156623390984385,0.6826508351698168,0.7489851853929254,194,114,0.3311240494320029,0.5615171332363583,0.8121359253141487,0.9836883463223043,0.02998331659700515,0.8510081880963908,0.45985141775005567,0.17163944834706446,normal
76,tcp,smtp,15109,34235,SF,1,2,0,2,4,1,4,1,0,7,0,0,2,0,194,172,0.01253840837089193,0.10035325838357367,0.595009113612631,0.7260541385797087,0.6985559612596285,0.0900365827264984,0.5858496104142636,138,178,0.7136803939467572,0.41434581464432185,0.28555930076499036,0.7509113092305958,0.009552964941320408,0.12393772354169641,0.5838298554465989,0.12654180588992803,r2l
89,icmp,domain,27086,45346,S0,0,1,1,0,3,1,4,0,1,7,3,0,3,1,162,168,0.4229444596452874,0.6040358524943502,0.8863359422031059,0.4120345223108808,0.9605005190492953,0.055109969500470646,0.4561501969845364,34,225,0.2601808157233312,0.841523584618241,0.6642623627419961,0.9459834308266706,0.5134583108078333,0.3204492197693366,0.3911274309944889,0.0785939218448577,probe
270,tcp,ftp,48279,140,RSTO,0,2,1,4,4,0,5,0,1,1,1,1,3,1,51,181,0.8854059929290041,0.4420484163263583,0.39675723542180574,0.7285243689215066,0.797485920588914,0.7311009470829087,0.05355592289815925,30,170,0.8874685975917482,0.4286781720656877,0.3000315626509501,0.958053795668697,0.7590798100269758,0.478827184253946,0.2788514610706122,0.28293058382036784,dos
244,icmp,domain,31163,18524,REJ,0,0,0,4,2,0,3,1,0,4,2,1,2,0,106,120,0.7145702244501033,0.665187438132547,0.07052303950012495,0.09433978192941539,0.7226691217296718,0.16229077495936828,0.28536970173821397,106,168,0.9123252490286128,0.04312438393315121,0.31342483766963547,0.5737708526650359,0.5745691809573501,0.2805157086553214,0.4764325256056906,0.6886856184012868,r2l
168,icmp,ssh,20512,11770,RSTO,1,0,1,2,4,0,8,0,1,6,1,0,4,0,65,171,0.3764211090249383,0.1567612062399244,0.4343584883536077,0.6977943871169776,0.43995098082638184,0.771325374017942,0.7166338392910453,167,122,0.3673506322356841,0.7434777884098043,0.29606767823115676,0.5918471512183234,0.6088379304347697,0.03531706177845284,0.5583091146144888,0.41645673339028855,normal
208,udp,domain,13494,45409,SF,1,2,2,4,4,1,7,0,1,1,2,0,1,0,51,192,0.5910813111967733,0.8785552837311552,0.7104195052969209,0.3843873420122169,0.4710450254908549,0.7753896482800527,0.7921891561071044,250,229,0.3187207678852886,0.658581113018834,0.29221718418034537,0.9327768104519285,0.42666446006424474,0.9012846400213004,0.014286333876587398,0.4475217811716774,normal
196,tcp,ssh,44159,47219,S0,1,0,2,2,2,1,7,0,1,0,2,0,1,1,122,35,0.882922338958811,0.1563190501226488,0.5136133539549402,0.060853132903117446,0.7022568096623333,0.32763003570077265,0.36394296845568685,216,108,0.25993094399563443,0.5761796062250502,0.15132604788795523,0.48574020983958277,0.4940556658004176,0.9495308468954837,0.3280510287195665,0.8173778557614951,dos
176,udp,smtp,14628,23750,S0,1,0,2,0,3,0,2,1,1,3,0,0,1,0,84,71,0.46708603666117643,0.7842852234464975,0.6868902701663373,0.3851597702451005,0.5132918119582128,0.5722007112543752,0.44322040995666356,89,206,0.27548017244436895,0.9093766305128359,0.39348027974949096,0.5806078697012836,0.3578077026285448,0.1881461766613418,0.4027056220406062,0.12323805821624934,probe
63,icmp,ssh,15345,2508,REJ,1,1,0,0,2,0,3,0,1,4,4,0,4,1,116,110,0.5975436986697619,0.5631322370673332,0.1658424914914639,0.07349251525420653,0.9397051995837145,0.3115774975266705,0.9102577563686587,17,99,0.3360654906613305,0.20989602611773384,0.3112615866491967,0.08421930749760398,0.05255254571162493,0.915594840727115,0.7399380343032824,0.796915485913353,r2l
185,icmp,ftp,300,27367,REJ,0,1,2,3,4,1,6,0,1,1,2,1,3,0,35,198,0.2293549167665574,0.755461021642568,0.04364947449373291,0.9736422867874175,0.16726350377530286,0.5334479248066833,0.8332528150510573,72,147,0.4229829467821573,0.2906496622025464,0.8027319157616423,0.111148112394864,0.324869389638496,0.36854371228586413,0.022615690106037478,0.0006919204673806467,u2r
256,udp,domain,35997,32160,S0,0,1,1,4,0,1,7,0,0,8,2,0,4,1,105,44,0.6800221268914418,0.2793031748201038,0.13623083146338144,0.2730548019043709,0.614737563167484,0.5378311789495303,0.9157103492563904,229,18,0.5345167111381603,0.3899123713531156,0.8923378747924933,0.09541010604174804,0.16084137314024505,0.6582608284653958,0.9648036081545641,0.6874204145807609,u2r
253,tcp,ftp,25032,36874,SF,0,0,2,1,1,1,3,1,0,9,1,1,1,1,163,100,0.04485070490018073,0.0323346344824369,0.4756510526508928,0.7479237882662987,0.5800239385473946,0.8843784817825828,0.6688607290860447,29,113,0.44584162271900274,0.8156280606294307,0.38720833530901866,0.008449556192324348,0.9043256991436847,0.44899374521272273,0.28504920296381697,0.45449462855361966,r2l
